id,il,nufus,alan,yogunluk,kod
1,Adana,2201670,13844,159.03,1
2,Adıyaman,610484,7337,83.21,2
3,Afyonkarahisar,714523,14016,50.98,3
4,Ağrı,542255,11099,48.86,4
5,Aksaray,396673,7659,51.79,68
6,Amasya,326351,5628,57.99,5
7,Ankara,5346518,25632,208.59,6
8,Antalya,2328555,20177,115.41,7
9,Ardahan,98335,4934,19.93,75
10,Artvin,168068,7393,22.73,8
11,Aydın,1068260,8116,131.62,9
12,Balıkesir,1196176,14583,82.03,10
13,Bartın,192389,2330,82.57,74
14,Batman,576899,4477,128.86,72
15,Bayburt,90154,3746,24.07,69
16,Bilecik,218297,4179,52.24,11
17,Bingöl,269560,8004,33.68,12
18,Bitlis,341225,8294,41.14,13
19,Bolu,299896,8313,36.08,14
20,Burdur,261401,7175,36.43,15
21,Bursa,2901396,10813,261,16
22,Çanakkale,519793,9817,52.95,17
23,Çankırı,183880,7542,24.38,18
24,Çorum,527863,12428,42.47,19
25,Denizli,1005687,12134,82.88,20
26,Diyarbakır,1673119,15168,110.31,21
27,Düzce,370371,2492,148.62,81
28,Edirne,401701,6145,65.37,22
29,Elâzığ,578789,9383,61.68,23
30,Erzincan,226032,11815,19.13,24
31,Erzurum,762021,25006,30.47,25
32,Eskişehir,844842,13960,60.52,26
33,Gaziantep,1974244,6803,290.2,27
34,Giresun,444467,7025,63.27,28
35,Gümüşhane,172034,6668,25.8,29
36,Hakkâri,267813,7095,37.75,30
37,Hatay,1555165,5524,281.53,31
38,Iğdır,192785,3664,52.62,76
39,Isparta,427324,8946,47.77,32
40,İstanbul,14804116,5461,2710.88,34
41,İzmir,4223545,11891,355.19,35
42,Kahramanmaraş,1112634,14520,76.63,46
43,Karabük,242347,4142,58.51,78
44,Karaman,245610,8678,28.3,70
45,Kars,289786,10193,28.43,36
46,Kastamonu,376945,13064,28.85,37
47,Kayseri,1358980,16970,80.08,38
48,Kilis,130825,1412,92.65,79
49,Kırıkkale,277984,4791,58.02,71
50,Kırklareli,351684,6459,54.45,39
51,Kırşehir,229975,6584,34.93,40
52,Kocaeli,1830772,3397,538.94,41
53,Konya,2161303,40838,52.92,42
54,Kütahya,573642,11634,49.31,43
55,Malatya,781305,12259,63.73,44
56,Manisa,1396945,13339,104.73,45
57,Mardin,796237,8780,90.69,47
58,Mersin,1773852,16010,110.8,33
59,Muğla,923773,12654,73,48
60,Muş,406501,8650,46.99,49
61,Nevşehir,290895,5485,53.03,50
62,Niğde,351468,7234,48.59,51
63,Ordu,750588,5861,128.06,52
64,Osmaniye,522175,3320,157.28,80
65,Rize,331048,3835,86.32,53
66,Sakarya,976948,4824,202.52,54
67,Samsun,1295927,9725,133.26,55
68,Şanlıurfa,1940627,19242,100.85,63
69,Siirt,322664,5717,56.44,56
70,Sinop,205478,5717,35.94,57
71,Sivas,621224,28164,22.06,58
72,Şırnak,483788,7078,68.35,73
73,Tekirdağ,972875,6190,157.17,59
74,Tokat,602662,10042,60.01,60
75,Trabzon,779379,4628,168.41,61
76,Tunceli,82193,7582,10.84,62
77,Uşak,358736,5555,64.58,64
78,Van,1100190,20921,52.59,65
79,Yalova,241665,798,302.84,77
80,Yozgat,421041,13690,30.76,66
81,Zonguldak,597524,3342,178.79,67
